year,decade,is_leap_year
2000,2000,True
2001,2000,False
2002,2000,False
2003,2000,False
2004,2000,True
2005,2000,False
2006,2000,False
2007,2000,False
2008,2000,True
2009,2000,False
2010,2010,False
2011,2010,False
2012,2010,True
2013,2010,False
2014,2010,False
2015,2010,False
2016,2010,True
2017,2010,False
2018,2010,False
2019,2010,False
2020,2020,True
2021,2020,False
2022,2020,False
2023,2020,False
2024,2020,True
